img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6_2.keys,key_resp_6_2.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
12,"[0.3, 0]",0,0,0,1,,,,,,,,,,,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
13,"[0.15, 0.3]",0,1,1,4,,,,,,,,,,,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
13,"[-0.15, -0.3]",0,2,2,3,,,,,,,,,,,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
11,"[-0.3, 0]",0,3,3,0,,,,,,,,,,,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
12,"[-0.15, 0.3]",0,4,4,2,,,,,,,,,,,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
14,"[0.15, -0.3]",0,5,5,5,,,,,,,,,,,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
33,"[-0.15, 0.3]",0,6,6,8,,,,,,,,,,,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
32,"[0.3, 0]",0,7,7,7,,,,,,,,,,,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
34,"[-0.15, -0.3]",0,8,8,9,,,,,,,,,,,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
31,"[-0.3, 0]",0,9,9,6,,,,,,,,,,,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
33,"[0.3, 0]",,,,,0,0,0,25,,,,,ralt,1.1893165999999837,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
34,"[-0.3, 0]",,,,,0,1,1,30,,,,,ralt,1.5034770999999978,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
33,"[0.15, -0.3]",,,,,0,2,2,29,,,,,ralt,1.2836965000000191,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
33,"[-0.15, -0.3]",,,,,0,3,3,27,,,,,ralt,1.430309799999975,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
34,"[0.15, -0.3]",,,,,0,4,4,47,,,,,ralt,1.626379400000019,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
33,"[-0.3, 0]",,,,,0,5,5,24,,,,,ralt,1.5017354999999952,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
33,"[0.15, 0.3]",,,,,0,6,6,28,,,,,ralt,1.3961785999999847,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
34,"[0.15, 0.3]",,,,,0,7,7,34,,,,,ralt,1.4713022999999907,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
13,"[0.15, 0.3]",,,,,0,8,8,4,,,,,lalt,1.2399141000000213,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
13,"[-0.15, -0.3]",,,,,0,9,9,3,,,,,lalt,1.1572818000000211,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
23,"[-0.15, -0.3]",,,,,0,10,10,15,,,,,lalt,1.1452873000000068,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
34,"[-0.3, 0]",,,,,0,11,11,42,,,,,ralt,1.5328266999999869,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
33,"[-0.15, 0.3]",,,,,0,12,12,38,,,,,ralt,1.0965448000000038,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
13,"[0.3, 0]",,,,,0,13,13,1,,,,,lalt,1.001477799999975,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
24,"[0.15, -0.3]",,,,,0,14,14,23,,,,,None,,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
13,"[0.15, -0.3]",,,,,0,15,15,5,,,,,lalt,0.9394998000000214,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
13,"[-0.15, 0.3]",,,,,0,16,16,2,,,,,lalt,1.2832287999999608,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
13,"[-0.3, 0]",,,,,0,17,17,0,,,,,lalt,0.9081031000000053,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
23,"[0.15, 0.3]",,,,,0,18,18,16,,,,,lalt,1.0326296999999727,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
34,"[0.15, -0.3]",,,,,0,19,19,35,,,,,ralt,1.6274682000000098,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
14,"[-0.15, -0.3]",,,,,0,20,20,9,,,,,lalt,1.1269110999999725,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
24,"[-0.3, 0]",,,,,0,21,21,18,,,,,lalt,1.2519571999999926,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
33,"[-0.15, -0.3]",,,,,0,22,22,39,,,,,ralt,1.1780988999999522,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
14,"[-0.3, 0]",,,,,0,23,23,6,,,,,lalt,0.6892811000000165,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
23,"[0.15, -0.3]",,,,,0,24,24,17,,,,,lalt,1.1578526000000124,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
34,"[0.3, 0]",,,,,0,25,25,31,,,,,ralt,1.1577481999999577,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
33,"[0.3, 0]",,,,,0,26,26,37,,,,,ralt,1.0004939000000377,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
34,"[-0.15, -0.3]",,,,,0,27,27,45,,,,,ralt,1.0336018000000422,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
24,"[-0.15, 0.3]",,,,,0,28,28,20,,,,,lalt,0.87600180000004,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
14,"[0.15, 0.3]",,,,,0,29,29,10,,,,,lalt,1.1587696999999935,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
24,"[0.15, 0.3]",,,,,0,30,30,22,,,,,lalt,0.8763778000000002,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
24,"[0.3, 0]",,,,,0,31,31,19,,,,,lalt,0.6815522000000556,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
23,"[-0.3, 0]",,,,,0,32,32,12,,,,,lalt,1.0602587999999287,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
34,"[-0.15, -0.3]",,,,,0,33,33,33,,,,,ralt,1.2169106999999713,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
14,"[0.15, -0.3]",,,,,0,34,34,11,,,,,lalt,0.9073369000000184,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
14,"[-0.15, 0.3]",,,,,0,35,35,8,,,,,lalt,0.6576287999999977,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
24,"[-0.15, -0.3]",,,,,0,36,36,21,,,,,lalt,0.7208586000000423,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
23,"[0.3, 0]",,,,,0,37,37,13,,,,,lalt,0.7818909000000076,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
34,"[0.3, 0]",,,,,0,38,38,43,,,,,ralt,1.0650446999999303,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
34,"[0.15, 0.3]",,,,,0,39,39,46,,,,,ralt,1.1274671999999555,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
33,"[-0.15, 0.3]",,,,,0,40,40,26,,,,,ralt,0.9613029999999299,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
23,"[-0.15, 0.3]",,,,,0,41,41,14,,,,,lalt,0.647786500000052,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
34,"[-0.15, 0.3]",,,,,0,42,42,44,,,,,ralt,1.020509000000061,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
33,"[0.15, 0.3]",,,,,0,43,43,40,,,,,ralt,1.0035824000000275,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
33,"[0.15, -0.3]",,,,,0,44,44,41,,,,,ralt,0.8454492000000755,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
14,"[0.3, 0]",,,,,0,45,45,7,,,,,lalt,0.8143981000000622,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
34,"[-0.15, 0.3]",,,,,0,46,46,32,,,,,ralt,1.034167899999943,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
33,"[-0.3, 0]",,,,,0,47,47,36,,,,,ralt,0.8146111000000928,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
13,"[-0.15, 0.3]",,,,,1,0,48,2,,,,,lalt,0.7527996999999687,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
13,"[0.3, 0]",,,,,1,1,49,1,,,,,lalt,0.8148051000000578,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
33,"[-0.15, 0.3]",,,,,1,2,50,38,,,,,ralt,0.939238400000022,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
34,"[-0.3, 0]",,,,,1,3,51,42,,,,,ralt,1.0340496999999687,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
33,"[-0.15, 0.3]",,,,,1,4,52,26,,,,,ralt,0.8149334999999382,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
33,"[-0.3, 0]",,,,,1,5,53,36,,,,,ralt,0.9376183000000538,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
34,"[0.15, 0.3]",,,,,1,6,54,34,,,,,ralt,0.8455941999999368,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
33,"[0.15, -0.3]",,,,,1,7,55,41,,,,,ralt,1.284214899999938,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
24,"[0.3, 0]",,,,,1,8,56,19,,,,,lalt,0.8128844000000299,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
23,"[0.15, 0.3]",,,,,1,9,57,16,,,,,lalt,0.5863046000000622,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
34,"[-0.3, 0]",,,,,1,10,58,30,,,,,ralt,0.864270999999917,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
34,"[0.15, 0.3]",,,,,1,11,59,46,,,,,ralt,0.6898491000000604,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
14,"[-0.15, 0.3]",,,,,1,12,60,8,,,,,lalt,0.9061832999999524,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
34,"[0.15, -0.3]",,,,,1,13,61,35,,,,,ralt,0.7836764999999559,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
33,"[0.15, -0.3]",,,,,1,14,62,29,,,,,ralt,1.1899817999999414,,,I-V-Mazi,001,2019_May_22_1112,with_training,3.0.7,32.00168968921569,
