img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6_2.keys,key_resp_6_2.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
13,"[0.15, 0.3]",0,0,0,4,,,,,,,,,,,,,I_V_TobiaszB,001,2019_May_23_1417,with_training,3.0.7,59.93910869891984,
31,"[-0.3, 0]",0,1,1,6,,,,,,,,,,,,,I_V_TobiaszB,001,2019_May_23_1417,with_training,3.0.7,59.93910869891984,
13,"[-0.15, -0.3]",0,2,2,3,,,,,,,,,,,,,I_V_TobiaszB,001,2019_May_23_1417,with_training,3.0.7,59.93910869891984,
14,"[0.15, -0.3]",0,3,3,5,,,,,,,,,,,,,I_V_TobiaszB,001,2019_May_23_1417,with_training,3.0.7,59.93910869891984,
34,"[-0.15, -0.3]",0,4,4,9,,,,,,,,,,,,,I_V_TobiaszB,001,2019_May_23_1417,with_training,3.0.7,59.93910869891984,
12,"[-0.15, 0.3]",0,5,5,2,,,,,,,,,,,,,I_V_TobiaszB,001,2019_May_23_1417,with_training,3.0.7,59.93910869891984,
11,"[-0.3, 0]",0,6,6,0,,,,,,,,,,,,,I_V_TobiaszB,001,2019_May_23_1417,with_training,3.0.7,59.93910869891984,
33,"[-0.15, 0.3]",0,7,7,8,,,,,,,,,,,,,I_V_TobiaszB,001,2019_May_23_1417,with_training,3.0.7,59.93910869891984,
12,"[0.3, 0]",0,8,8,1,,,,,,,,,,,,,I_V_TobiaszB,001,2019_May_23_1417,with_training,3.0.7,59.93910869891984,
32,"[0.3, 0]",0,9,9,7,,,,,,,,,,,,,I_V_TobiaszB,001,2019_May_23_1417,with_training,3.0.7,59.93910869891984,
34,"[-0.3, 0]",,,,,0,0,0,30,,,,,roption,1.0011357209987182,,,I_V_TobiaszB,001,2019_May_23_1417,with_training,3.0.7,59.93910869891984,
13,"[0.15, 0.3]",,,,,0,1,1,4,,,,,loption,0.8514095700011239,,,I_V_TobiaszB,001,2019_May_23_1417,with_training,3.0.7,59.93910869891984,
33,"[-0.3, 0]",,,,,0,2,2,36,,,,,roption,1.068670190001285,,,I_V_TobiaszB,001,2019_May_23_1417,with_training,3.0.7,59.93910869891984,
14,"[-0.15, 0.3]",,,,,0,3,3,8,,,,,loption,1.2684248830009892,,,I_V_TobiaszB,001,2019_May_23_1417,with_training,3.0.7,59.93910869891984,
