img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_6_2.keys,key_resp_6_2.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
12,"[0.3, 0]",0,0,0,1,,,,,,,,,None,,,,,,bzena,001,2019_May_19_1706,with_training,3.0.7,58.72873443339285,
13,"[0.15, 0.3]",0,1,1,4,,,,,,,,,ralt,1.6629316001199186,,,,,bzena,001,2019_May_19_1706,with_training,3.0.7,58.72873443339285,
33,"[-0.15, 0.3]",0,2,2,8,,,,,,,,,None,,,,,,bzena,001,2019_May_19_1706,with_training,3.0.7,58.72873443339285,
14,"[0.15, -0.3]",0,3,3,5,,,,,,,,,lalt,1.4489469998516142,,,,,bzena,001,2019_May_19_1706,with_training,3.0.7,58.72873443339285,
11,"[-0.3, 0]",0,4,4,0,,,,,,,,,None,,,,,,bzena,001,2019_May_19_1706,with_training,3.0.7,58.72873443339285,
34,"[-0.15, -0.3]",0,5,5,9,,,,,,,,,ralt,1.1963599999435246,,,,,bzena,001,2019_May_19_1706,with_training,3.0.7,58.72873443339285,
31,"[-0.3, 0]",0,6,6,6,,,,,,,,,ralt,0.9175828997977078,,,,,bzena,001,2019_May_19_1706,with_training,3.0.7,58.72873443339285,
12,"[-0.15, 0.3]",0,7,7,2,,,,,,,,,ralt,0.9247357998974621,,,,,bzena,001,2019_May_19_1706,with_training,3.0.7,58.72873443339285,
32,"[0.3, 0]",0,8,8,7,,,,,,,,,ralt,0.6426023002713919,,,,,bzena,001,2019_May_19_1706,with_training,3.0.7,58.72873443339285,
13,"[-0.15, -0.3]",0,9,9,3,,,,,,,,,ralt,0.9572628997266293,,,,,bzena,001,2019_May_19_1706,with_training,3.0.7,58.72873443339285,
34,"[-0.15, -0.3]",,,,,0,0,0,33,,,,,,,ralt,0.9135258998721838,,,bzena,001,2019_May_19_1706,with_training,3.0.7,58.72873443339285,
24,"[-0.15, -0.3]",,,,,0,1,1,21,,,,,,,ralt,0.8386773997917771,,,bzena,001,2019_May_19_1706,with_training,3.0.7,58.72873443339285,
