img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6_2.keys,key_resp_6_2.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
31,"[-0.3, 0]",0,0,0,6,,,,,,,,,,,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
14,"[0.15, -0.3]",0,1,1,5,,,,,,,,,,,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
12,"[-0.15, 0.3]",0,2,2,2,,,,,,,,,,,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
32,"[0.3, 0]",0,3,3,7,,,,,,,,,,,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
12,"[0.3, 0]",0,4,4,1,,,,,,,,,,,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
13,"[0.15, 0.3]",0,5,5,4,,,,,,,,,,,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
33,"[-0.15, 0.3]",0,6,6,8,,,,,,,,,,,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
11,"[-0.3, 0]",0,7,7,0,,,,,,,,,,,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
13,"[-0.15, -0.3]",0,8,8,3,,,,,,,,,,,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
34,"[-0.15, -0.3]",0,9,9,9,,,,,,,,,,,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
33,"[-0.15, 0.3]",,,,,0,0,0,38,,,,,None,,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
13,"[0.15, -0.3]",,,,,0,1,1,5,,,,,lalt,1.646779400001833,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
14,"[0.3, 0]",,,,,0,2,2,7,,,,,None,,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
13,"[-0.3, 0]",,,,,0,3,3,0,,,,,None,,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
34,"[0.15, 0.3]",,,,,0,4,4,34,,,,,ralt,1.1956657000009727,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
14,"[-0.3, 0]",,,,,0,5,5,6,,,,,lalt,1.0813960999985284,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
34,"[0.15, -0.3]",,,,,0,6,6,47,,,,,None,,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
34,"[0.15, 0.3]",,,,,0,7,7,46,,,,,ralt,1.1376627999998163,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
13,"[0.15, 0.3]",,,,,0,8,8,4,,,,,lalt,0.9969048000020848,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
34,"[-0.15, -0.3]",,,,,0,9,9,33,,,,,ralt,1.193701100000908,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
34,"[-0.15, 0.3]",,,,,0,10,10,32,,,,,ralt,1.1635749999986729,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
14,"[0.15, -0.3]",,,,,0,11,11,11,,,,,lalt,1.3841356999982963,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
14,"[0.15, 0.3]",,,,,0,12,12,10,,,,,lalt,1.392786199998227,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
24,"[-0.15, -0.3]",,,,,0,13,13,21,,,,,lalt,1.6186686000000918,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
33,"[0.15, 0.3]",,,,,0,14,14,40,,,,,None,,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
24,"[0.15, -0.3]",,,,,0,15,15,23,,,,,lalt,1.4417948000009346,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
33,"[0.15, 0.3]",,,,,0,16,16,28,,,,,ralt,1.169990599999437,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
23,"[0.15, -0.3]",,,,,0,17,17,17,,,,,lalt,0.976885800002492,,,I-V-prekariat,001,2019_May_22_1617,with_training,3.0.7,31.9796660488081,
