img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6_2.keys,key_resp_6_2.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
32,"[0.3, 0]",0,0,0,7,,,,,,,,,,,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
12,"[-0.15, 0.3]",0,1,1,2,,,,,,,,,,,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
11,"[-0.3, 0]",0,2,2,0,,,,,,,,,,,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
31,"[-0.3, 0]",0,3,3,6,,,,,,,,,,,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
34,"[-0.15, -0.3]",0,4,4,9,,,,,,,,,,,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
33,"[-0.15, 0.3]",0,5,5,8,,,,,,,,,,,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
13,"[0.15, 0.3]",0,6,6,4,,,,,,,,,,,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
12,"[0.3, 0]",0,7,7,1,,,,,,,,,,,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
14,"[0.15, -0.3]",0,8,8,5,,,,,,,,,,,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
13,"[-0.15, -0.3]",0,9,9,3,,,,,,,,,,,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
33,"[0.3, 0]",,,,,0,0,0,37,,,,,None,,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
34,"[0.3, 0]",,,,,0,1,1,31,,,,,lalt,1.0738218000042252,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
14,"[-0.3, 0]",,,,,0,2,2,6,,,,,lalt,1.068137200025376,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
34,"[0.15, -0.3]",,,,,0,3,3,47,,,,,ralt,1.0346774000208825,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
13,"[0.15, -0.3]",,,,,0,4,4,5,,,,,lalt,1.4553516000160016,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
34,"[0.15, 0.3]",,,,,0,5,5,46,,,,,ralt,1.501869700034149,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
34,"[0.15, 0.3]",,,,,0,6,6,34,,,,,lalt,1.7414944000192918,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
34,"[-0.15, -0.3]",,,,,0,7,7,33,,,,,ralt,1.1778651000349782,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
24,"[-0.15, 0.3]",,,,,0,8,8,20,,,,,lalt,0.9278147000004537,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
13,"[0.3, 0]",,,,,0,9,9,1,,,,,lalt,0.7771966999862343,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
23,"[0.15, 0.3]",,,,,0,10,10,16,,,,,ralt,0.7472737999632955,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
13,"[-0.3, 0]",,,,,0,11,11,0,,,,,lalt,0.8810845999978483,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
23,"[0.15, -0.3]",,,,,0,12,12,17,,,,,lalt,0.7757563999621198,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
23,"[-0.15, -0.3]",,,,,0,13,13,15,,,,,lalt,0.5570158999762498,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
34,"[-0.15, 0.3]",,,,,0,14,14,44,,,,,ralt,0.9203404000145383,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
24,"[0.15, -0.3]",,,,,0,15,15,23,,,,,None,,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
24,"[0.15, 0.3]",,,,,0,16,16,22,,,,,lalt,1.3637982999789529,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
33,"[0.15, 0.3]",,,,,0,17,17,28,,,,,lalt,1.1766262000310235,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
14,"[-0.15, -0.3]",,,,,0,18,18,9,,,,,ralt,0.933777199999895,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
14,"[0.15, 0.3]",,,,,0,19,19,10,,,,,lalt,0.680962799990084,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
24,"[0.3, 0]",,,,,0,20,20,19,,,,,lalt,1.0446181999868713,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
23,"[-0.3, 0]",,,,,0,21,21,12,,,,,lalt,0.9076466999831609,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
33,"[-0.15, -0.3]",,,,,0,22,22,27,,,,,ralt,1.1801064000464976,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
34,"[0.15, -0.3]",,,,,0,23,23,35,,,,,lalt,1.4339582999818958,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
14,"[0.15, -0.3]",,,,,0,24,24,11,,,,,lalt,0.9260390999843366,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
13,"[-0.15, -0.3]",,,,,0,25,25,3,,,,,ralt,0.9793854000163265,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
24,"[-0.3, 0]",,,,,0,26,26,18,,,,,lalt,1.161158400005661,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
23,"[-0.15, 0.3]",,,,,0,27,27,14,,,,,lalt,0.7664443999528885,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
33,"[-0.3, 0]",,,,,0,28,28,36,,,,,lalt,1.3519408000283875,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
13,"[-0.15, 0.3]",,,,,0,29,29,2,,,,,lalt,0.8282471999991685,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
33,"[-0.15, 0.3]",,,,,0,30,30,26,,,,,ralt,1.141056899970863,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
33,"[0.15, -0.3]",,,,,0,31,31,41,,,,,ralt,1.105904299998656,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
33,"[0.15, 0.3]",,,,,0,32,32,40,,,,,ralt,0.9072308000177145,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
13,"[0.15, 0.3]",,,,,0,33,33,4,,,,,lalt,1.1783833000226878,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
34,"[-0.3, 0]",,,,,0,34,34,42,,,,,ralt,0.9067716000135988,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
14,"[0.3, 0]",,,,,0,35,35,7,,,,,lalt,1.4085140999522991,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
33,"[0.15, -0.3]",,,,,0,36,36,29,,,,,ralt,0.8503605999867432,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
34,"[-0.15, 0.3]",,,,,0,37,37,32,,,,,ralt,0.9804276999784634,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
34,"[-0.3, 0]",,,,,0,38,38,30,,,,,ralt,0.8126011000131257,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
24,"[-0.15, -0.3]",,,,,0,39,39,21,,,,,lalt,0.8802722999826074,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
33,"[-0.3, 0]",,,,,0,40,40,24,,,,,ralt,1.322450200037565,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
33,"[0.3, 0]",,,,,0,41,41,25,,,,,ralt,0.8866591999540105,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
34,"[0.3, 0]",,,,,0,42,42,43,,,,,ralt,1.1312884000362828,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
23,"[0.3, 0]",,,,,0,43,43,13,,,,,lalt,0.9591537000378594,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
14,"[-0.15, 0.3]",,,,,0,44,44,8,,,,,lalt,0.8736476000049151,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
33,"[-0.15, 0.3]",,,,,0,45,45,38,,,,,ralt,1.3307624000008218,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
34,"[-0.15, -0.3]",,,,,0,46,46,45,,,,,ralt,0.7838740999577567,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
33,"[-0.15, -0.3]",,,,,0,47,47,39,,,,,ralt,1.2088884999975562,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
34,"[0.15, 0.3]",,,,,1,0,48,34,,,,,ralt,1.1680204999865964,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
34,"[-0.3, 0]",,,,,1,1,49,30,,,,,ralt,1.003488800022751,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
24,"[0.15, -0.3]",,,,,1,2,50,23,,,,,lalt,1.0000962000340223,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
14,"[0.15, 0.3]",,,,,1,3,51,10,,,,,lalt,0.9084088000236079,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
34,"[0.15, -0.3]",,,,,1,4,52,47,,,,,ralt,0.9542632999946363,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
13,"[0.3, 0]",,,,,1,5,53,1,,,,,lalt,0.6852279999875464,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
23,"[-0.15, -0.3]",,,,,1,6,54,15,,,,,lalt,1.1935161000001244,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
14,"[-0.15, 0.3]",,,,,1,7,55,8,,,,,lalt,0.9125835999730043,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
14,"[-0.15, -0.3]",,,,,1,8,56,9,,,,,lalt,1.0584934999933466,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
13,"[0.15, -0.3]",,,,,1,9,57,5,,,,,lalt,0.8003356999834068,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
34,"[-0.15, -0.3]",,,,,1,10,58,33,,,,,ralt,1.5225663000019267,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
33,"[0.3, 0]",,,,,1,11,59,25,,,,,ralt,0.9450432000448927,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
24,"[-0.15, 0.3]",,,,,1,12,60,20,,,,,ralt,1.2309748999541625,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
24,"[0.3, 0]",,,,,1,13,61,19,,,,,lalt,0.6962072000023909,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
13,"[0.15, 0.3]",,,,,1,14,62,4,,,,,lalt,1.1092968000448309,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
33,"[0.15, 0.3]",,,,,1,15,63,40,,,,,ralt,1.0286429999978282,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
34,"[-0.3, 0]",,,,,1,16,64,42,,,,,ralt,1.2909144000150263,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
33,"[-0.3, 0]",,,,,1,17,65,36,,,,,ralt,1.33321229997091,,,I_V_MichalD,001,2019_May_22_1706,with_training,3.0.7,60.01417535834576,
