img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6_2.keys,key_resp_6_2.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
12,"[-0.15, 0.3]",0,0,0,2,,,,,,,,,,,,,I-V-wejanjuan,001,2019_May_23_1105,with_training,3.0.7,31.977089055276394,
14,"[0.15, -0.3]",0,1,1,5,,,,,,,,,,,,,I-V-wejanjuan,001,2019_May_23_1105,with_training,3.0.7,31.977089055276394,
32,"[0.3, 0]",0,2,2,7,,,,,,,,,,,,,I-V-wejanjuan,001,2019_May_23_1105,with_training,3.0.7,31.977089055276394,
34,"[-0.15, -0.3]",0,3,3,9,,,,,,,,,,,,,I-V-wejanjuan,001,2019_May_23_1105,with_training,3.0.7,31.977089055276394,
11,"[-0.3, 0]",0,4,4,0,,,,,,,,,,,,,I-V-wejanjuan,001,2019_May_23_1105,with_training,3.0.7,31.977089055276394,
12,"[0.3, 0]",0,5,5,1,,,,,,,,,,,,,I-V-wejanjuan,001,2019_May_23_1105,with_training,3.0.7,31.977089055276394,
13,"[0.15, 0.3]",0,6,6,4,,,,,,,,,,,,,I-V-wejanjuan,001,2019_May_23_1105,with_training,3.0.7,31.977089055276394,
33,"[-0.15, 0.3]",0,7,7,8,,,,,,,,,,,,,I-V-wejanjuan,001,2019_May_23_1105,with_training,3.0.7,31.977089055276394,
13,"[-0.15, -0.3]",0,8,8,3,,,,,,,,,,,,,I-V-wejanjuan,001,2019_May_23_1105,with_training,3.0.7,31.977089055276394,
31,"[-0.3, 0]",0,9,9,6,,,,,,,,,,,,,I-V-wejanjuan,001,2019_May_23_1105,with_training,3.0.7,31.977089055276394,
34,"[-0.3, 0]",,,,,0,0,0,42,,,,,ralt,0.9092711000002964,,,I-V-wejanjuan,001,2019_May_23_1105,with_training,3.0.7,31.977089055276394,
24,"[0.15, 0.3]",,,,,0,1,1,22,,,,,lalt,1.3664481999994678,,,I-V-wejanjuan,001,2019_May_23_1105,with_training,3.0.7,31.977089055276394,
34,"[-0.3, 0]",,,,,0,2,2,30,,,,,ralt,1.2832111999996414,,,I-V-wejanjuan,001,2019_May_23_1105,with_training,3.0.7,31.977089055276394,
23,"[0.15, 0.3]",,,,,0,3,3,16,,,,,lalt,1.31433990000005,,,I-V-wejanjuan,001,2019_May_23_1105,with_training,3.0.7,31.977089055276394,
