img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6_2.keys,key_resp_6_2.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
12,"[-0.15, 0.3]",0,0,0,2,,,,,,,,,,,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
33,"[-0.15, 0.3]",0,1,1,8,,,,,,,,,,,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
11,"[-0.3, 0]",0,2,2,0,,,,,,,,,,,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
12,"[0.3, 0]",0,3,3,1,,,,,,,,,,,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
32,"[0.3, 0]",0,4,4,7,,,,,,,,,,,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
31,"[-0.3, 0]",0,5,5,6,,,,,,,,,,,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
34,"[-0.15, -0.3]",0,6,6,9,,,,,,,,,,,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
14,"[0.15, -0.3]",0,7,7,5,,,,,,,,,,,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
13,"[0.15, 0.3]",0,8,8,4,,,,,,,,,,,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
13,"[-0.15, -0.3]",0,9,9,3,,,,,,,,,,,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
33,"[0.3, 0]",,,,,0,0,0,25,,,,,ralt,1.5699614999994083,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
33,"[0.3, 0]",,,,,0,1,1,37,,,,,ralt,1.260753400001704,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
24,"[-0.15, 0.3]",,,,,0,2,2,20,,,,,ralt,0.8466762000007293,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
14,"[-0.3, 0]",,,,,0,3,3,6,,,,,lalt,1.5026634000005288,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
34,"[-0.15, 0.3]",,,,,0,4,4,32,,,,,ralt,1.414072399998986,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
33,"[0.15, -0.3]",,,,,0,5,5,41,,,,,ralt,1.2486346000005142,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
33,"[0.15, 0.3]",,,,,0,6,6,28,,,,,ralt,1.118542600001092,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
13,"[0.15, 0.3]",,,,,0,7,7,4,,,,,ralt,0.8243629000007786,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
14,"[0.3, 0]",,,,,0,8,8,7,,,,,ralt,1.0417405999996845,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
23,"[-0.15, 0.3]",,,,,0,9,9,14,,,,,lalt,1.1385580999995,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
13,"[0.15, -0.3]",,,,,0,10,10,5,,,,,lalt,0.6582025000006979,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
24,"[0.15, -0.3]",,,,,0,11,11,23,,,,,lalt,0.8837227000003622,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
13,"[0.3, 0]",,,,,0,12,12,1,,,,,lalt,0.6838456999994378,,,I-V-Szymanek,001,2019_May_22_1444,with_training,3.0.7,32.227344579467065,
