img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_6_2.keys,key_resp_6_2.rt,key_resp_6.keys,key_resp_6.rt,participant,session,date,expName,psychopyVersion,frameRate,
33,"[-0.15, 0.3]",0,0,0,8,,,,,,,,,None,,,,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
13,"[-0.15, -0.3]",0,1,1,3,,,,,,,,,lalt,1.0863461000844836,,,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
31,"[-0.3, 0]",0,2,2,6,,,,,,,,,lalt,0.9131721002049744,,,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
11,"[-0.3, 0]",0,3,3,0,,,,,,,,,None,,,,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
12,"[0.3, 0]",0,4,4,1,,,,,,,,,None,,,,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
34,"[-0.15, -0.3]",0,5,5,9,,,,,,,,,lalt,0.8582574999891222,,,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
32,"[0.3, 0]",0,6,6,7,,,,,,,,,ralt,1.0977631998248398,,,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
12,"[-0.15, 0.3]",0,7,7,2,,,,,,,,,lalt,0.912720300257206,,,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
13,"[0.15, 0.3]",0,8,8,4,,,,,,,,,lalt,1.3844985999166965,,,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
14,"[0.15, -0.3]",0,9,9,5,,,,,,,,,lalt,1.3894499000161886,,,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
24,"[-0.15, -0.3]",,,,,0,0,0,21,,,,,,,lalt,0.8799007995985448,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
33,"[-0.15, -0.3]",,,,,0,1,1,39,,,,,,,ralt,1.1986965001560748,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
34,"[0.3, 0]",,,,,0,2,2,43,,,,,,,lalt,1.0385805000551045,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
33,"[-0.3, 0]",,,,,0,3,3,36,,,,,,,ralt,0.9635995998978615,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
34,"[0.15, -0.3]",,,,,0,4,4,35,,,,,,,ralt,1.2782999998889863,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
33,"[-0.3, 0]",,,,,0,5,5,24,,,,,,,ralt,1.3247948000207543,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
23,"[-0.15, -0.3]",,,,,0,6,6,15,,,,,,,lalt,1.2047596001066267,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
14,"[0.15, -0.3]",,,,,0,7,7,11,,,,,,,lalt,1.5396114997565746,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
34,"[0.3, 0]",,,,,0,8,8,31,,,,,,,ralt,1.4617181001231074,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
34,"[-0.15, 0.3]",,,,,0,9,9,32,,,,,,,ralt,1.2862750999629498,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
33,"[0.15, -0.3]",,,,,0,10,10,41,,,,,,,None,,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
23,"[-0.15, 0.3]",,,,,0,11,11,14,,,,,,,lalt,0.854392800014466,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
34,"[0.15, 0.3]",,,,,0,12,12,46,,,,,,,ralt,1.1480859997682273,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
14,"[-0.3, 0]",,,,,0,13,13,6,,,,,,,lalt,0.8514590999111533,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
24,"[-0.3, 0]",,,,,0,14,14,18,,,,,,,lalt,0.947511900216341,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
23,"[0.3, 0]",,,,,0,15,15,13,,,,,,,lalt,0.8448065998964012,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
13,"[-0.15, 0.3]",,,,,0,16,16,2,,,,,,,lalt,0.9724862002767622,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
34,"[-0.3, 0]",,,,,0,17,17,30,,,,,,,ralt,1.0283526997081935,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
23,"[0.15, 0.3]",,,,,0,18,18,16,,,,,,,lalt,0.7712532002478838,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
33,"[0.15, 0.3]",,,,,0,19,19,28,,,,,,,ralt,1.124774199910462,,,magda,002,2019_May_19_1739,with_training,3.0.7,51.618897606217956,
