img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6_2.keys,key_resp_6_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
12,"[0.3, 0]",0,0,0,1,,,,,,,,,,,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
13,"[0.15, 0.3]",0,1,1,4,,,,,,,,,,,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
13,"[-0.15, -0.3]",0,2,2,3,,,,,,,,,,,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
12,"[-0.15, 0.3]",0,3,3,2,,,,,,,,,,,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
11,"[-0.3, 0]",0,4,4,0,,,,,,,,,,,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
33,"[-0.15, 0.3]",0,5,5,8,,,,,,,,,,,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
34,"[-0.15, -0.3]",0,6,6,9,,,,,,,,,,,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
31,"[-0.3, 0]",0,7,7,6,,,,,,,,,,,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
32,"[0.3, 0]",0,8,8,7,,,,,,,,,,,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
14,"[0.15, -0.3]",0,9,9,5,,,,,,,,,,,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
21,"[0.15, 0.3]",,,,,0,0,0,10,,,,,lalt,1.3706578999990597,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
21,"[-0.3, 0]",,,,,0,1,1,6,,,,,ralt,0.8100060999986454,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
31,"[0.15, -0.3]",,,,,0,2,2,41,,,,,ralt,1.171154800000295,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
31,"[-0.3, 0]",,,,,0,3,3,12,,,,,ralt,1.2500999000003503,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
12,"[0.3, 0]",,,,,0,4,4,19,,,,,ralt,1.136681600000884,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
12,"[-0.15, -0.3]",,,,,0,5,5,21,,,,,lalt,1.30157269999836,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
32,"[0.3, 0]",,,,,0,6,6,43,,,,,ralt,1.3318939000000682,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
32,"[-0.15, -0.3]",,,,,0,7,7,27,,,,,ralt,1.536449500001254,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
22,"[0.3, 0]",,,,,0,8,8,31,,,,,lalt,1.1951812000006612,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
22,"[-0.3, 0]",,,,,0,9,9,30,,,,,lalt,1.1102926999992633,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
32,"[-0.15, 0.3]",,,,,0,10,10,26,,,,,ralt,1.209927300000345,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
12,"[-0.15, 0.3]",,,,,0,11,11,20,,,,,lalt,0.9802511999987473,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
21,"[-0.15, 0.3]",,,,,0,12,12,8,,,,,lalt,0.906580999999278,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
31,"[-0.15, 0.3]",,,,,0,13,13,14,,,,,ralt,1.0103493999995408,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
12,"[-0.3, 0]",,,,,0,14,14,18,,,,,lalt,1.0433527000004688,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
21,"[0.15, -0.3]",,,,,0,15,15,11,,,,,lalt,0.9204196999999112,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
31,"[-0.15, -0.3]",,,,,0,16,16,15,,,,,ralt,1.2313105000012001,,,V-I-darada,001,2019_May_22_1409,with_training,3.0.7,31.99982592092531,
