img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6_2.keys,key_resp_6_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
11,"[-0.3, 0]",0,0,0,0,,,,,,,,,,,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
34,"[-0.15, -0.3]",0,1,1,9,,,,,,,,,,,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
13,"[-0.15, -0.3]",0,2,2,3,,,,,,,,,,,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
31,"[-0.3, 0]",0,3,3,6,,,,,,,,,,,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
14,"[0.15, -0.3]",0,4,4,5,,,,,,,,,,,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
12,"[0.3, 0]",0,5,5,1,,,,,,,,,,,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
33,"[-0.15, 0.3]",0,6,6,8,,,,,,,,,,,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
12,"[-0.15, 0.3]",0,7,7,2,,,,,,,,,,,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
13,"[0.15, 0.3]",0,8,8,4,,,,,,,,,,,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
32,"[0.3, 0]",0,9,9,7,,,,,,,,,,,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
11,"[-0.15, -0.3]",,,,,0,0,0,3,,,,,lalt,1.434941300000105,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
32,"[-0.15, -0.3]",,,,,0,1,1,45,,,,,ralt,1.0861962000000176,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
31,"[0.15, 0.3]",,,,,0,2,2,16,,,,,ralt,1.1744048000000475,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
32,"[0.3, 0]",,,,,0,3,3,43,,,,,ralt,0.9649167000000034,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
31,"[-0.3, 0]",,,,,0,4,4,12,,,,,ralt,0.8120007999999643,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
31,"[0.15, 0.3]",,,,,0,5,5,40,,,,,ralt,0.7316985000001068,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
32,"[0.15, -0.3]",,,,,0,6,6,47,,,,,ralt,0.6878252999999859,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
31,"[-0.15, -0.3]",,,,,0,7,7,39,,,,,ralt,0.7663233999999193,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
31,"[0.15, -0.3]",,,,,0,8,8,17,,,,,ralt,1.015985799999953,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
32,"[-0.3, 0]",,,,,0,9,9,24,,,,,ralt,0.970352299999945,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
31,"[-0.15, 0.3]",,,,,0,10,10,38,,,,,ralt,1.260634600000003,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
21,"[-0.15, -0.3]",,,,,0,11,11,9,,,,,lalt,1.1092708999999559,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
31,"[-0.15, -0.3]",,,,,0,12,12,15,,,,,ralt,1.6843433999999888,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
32,"[-0.15, 0.3]",,,,,0,13,13,44,,,,,ralt,1.111006599999996,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
32,"[0.3, 0]",,,,,0,14,14,25,,,,,ralt,0.90696539999999,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
11,"[-0.15, 0.3]",,,,,0,15,15,2,,,,,lalt,0.8619749000000638,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
12,"[-0.15, -0.3]",,,,,0,16,16,21,,,,,lalt,0.8628583999999364,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
32,"[-0.15, -0.3]",,,,,0,17,17,27,,,,,ralt,1.2874212000000398,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
21,"[0.3, 0]",,,,,0,18,18,7,,,,,lalt,0.9580069999999523,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
11,"[0.3, 0]",,,,,0,19,19,1,,,,,lalt,0.8573645999999826,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
22,"[-0.15, 0.3]",,,,,0,20,20,32,,,,,lalt,0.9157343999999057,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
22,"[0.15, -0.3]",,,,,0,21,21,35,,,,,lalt,1.2863545000000158,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
32,"[0.15, -0.3]",,,,,0,22,22,29,,,,,ralt,1.0742536999999857,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
32,"[0.15, 0.3]",,,,,0,23,23,46,,,,,ralt,1.488747099999955,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
31,"[0.3, 0]",,,,,0,24,24,13,,,,,ralt,1.0727441000000226,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
31,"[-0.3, 0]",,,,,0,25,25,36,,,,,ralt,0.9798217000000022,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
22,"[0.15, 0.3]",,,,,0,26,26,34,,,,,lalt,0.9373004000000265,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
12,"[0.15, 0.3]",,,,,0,27,27,22,,,,,lalt,0.9322788999999148,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
21,"[-0.3, 0]",,,,,0,28,28,6,,,,,lalt,0.8585940000000392,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
31,"[-0.15, 0.3]",,,,,0,29,29,14,,,,,ralt,0.9999029000000519,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
11,"[-0.3, 0]",,,,,0,30,30,0,,,,,lalt,0.7435992999999144,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
32,"[-0.15, 0.3]",,,,,0,31,31,26,,,,,ralt,1.2936796999999842,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
21,"[-0.15, 0.3]",,,,,0,32,32,8,,,,,lalt,1.1244633999999678,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
12,"[-0.3, 0]",,,,,0,33,33,18,,,,,lalt,0.7966390000000274,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
32,"[-0.3, 0]",,,,,0,34,34,42,,,,,ralt,0.9744558999999526,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
11,"[0.15, 0.3]",,,,,0,35,35,4,,,,,lalt,1.2205650999999307,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
22,"[0.3, 0]",,,,,0,36,36,31,,,,,lalt,0.9500123999999914,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
11,"[0.15, -0.3]",,,,,0,37,37,5,,,,,lalt,1.33930620000001,,,V-I-dwynwen,001,2019_May_23_1353,with_training,3.0.7,31.909214455768133,
