img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6_2.keys,key_resp_6_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
13,"[-0.15, -0.3]",0,0,0,3,,,,,,,,,,,,,V_I_MartynaK,001,2019_May_20_1127,with_training,3.0.7,60.37943353345603,
31,"[-0.3, 0]",0,1,1,6,,,,,,,,,,,,,V_I_MartynaK,001,2019_May_20_1127,with_training,3.0.7,60.37943353345603,
32,"[0.3, 0]",0,2,2,7,,,,,,,,,,,,,V_I_MartynaK,001,2019_May_20_1127,with_training,3.0.7,60.37943353345603,
11,"[-0.3, 0]",0,3,3,0,,,,,,,,,,,,,V_I_MartynaK,001,2019_May_20_1127,with_training,3.0.7,60.37943353345603,
33,"[-0.15, 0.3]",0,4,4,8,,,,,,,,,,,,,V_I_MartynaK,001,2019_May_20_1127,with_training,3.0.7,60.37943353345603,
34,"[-0.15, -0.3]",0,5,5,9,,,,,,,,,,,,,V_I_MartynaK,001,2019_May_20_1127,with_training,3.0.7,60.37943353345603,
13,"[0.15, 0.3]",0,6,6,4,,,,,,,,,,,,,V_I_MartynaK,001,2019_May_20_1127,with_training,3.0.7,60.37943353345603,
14,"[0.15, -0.3]",0,7,7,5,,,,,,,,,,,,,V_I_MartynaK,001,2019_May_20_1127,with_training,3.0.7,60.37943353345603,
12,"[-0.15, 0.3]",0,8,8,2,,,,,,,,,,,,,V_I_MartynaK,001,2019_May_20_1127,with_training,3.0.7,60.37943353345603,
12,"[0.3, 0]",0,9,9,1,,,,,,,,,,,,,V_I_MartynaK,001,2019_May_20_1127,with_training,3.0.7,60.37943353345603,
31,"[0.15, 0.3]",,,,,0,0,0,16,,,,,None,,,,V_I_MartynaK,001,2019_May_20_1127,with_training,3.0.7,60.37943353345603,
12,"[-0.3, 0]",,,,,0,1,1,18,,,,,ralt,1.7529227735649329,,,V_I_MartynaK,001,2019_May_20_1127,with_training,3.0.7,60.37943353345603,
11,"[-0.15, -0.3]",,,,,0,2,2,3,,,,,lalt,1.348697679117322,,,V_I_MartynaK,001,2019_May_20_1127,with_training,3.0.7,60.37943353345603,
21,"[-0.15, -0.3]",,,,,0,3,3,9,,,,,lalt,1.1480793460796122,,,V_I_MartynaK,001,2019_May_20_1127,with_training,3.0.7,60.37943353345603,
22,"[-0.15, 0.3]",,,,,0,4,4,32,,,,,lalt,1.6667383084422909,,,V_I_MartynaK,001,2019_May_20_1127,with_training,3.0.7,60.37943353345603,
21,"[-0.15, 0.3]",,,,,0,5,5,8,,,,,None,,,,V_I_MartynaK,001,2019_May_20_1127,with_training,3.0.7,60.37943353345603,
