img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6_2.keys,key_resp_6_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
13,"[0.15, 0.3]",0,0,0,4,,,,,,,,,,,,,V_I_PawelP,001,2019_May_21_1200,with_training,3.0.7,60.006144630591784,
34,"[-0.15, -0.3]",0,1,1,9,,,,,,,,,,,,,V_I_PawelP,001,2019_May_21_1200,with_training,3.0.7,60.006144630591784,
33,"[-0.15, 0.3]",0,2,2,8,,,,,,,,,,,,,V_I_PawelP,001,2019_May_21_1200,with_training,3.0.7,60.006144630591784,
12,"[-0.15, 0.3]",0,3,3,2,,,,,,,,,,,,,V_I_PawelP,001,2019_May_21_1200,with_training,3.0.7,60.006144630591784,
12,"[0.3, 0]",0,4,4,1,,,,,,,,,,,,,V_I_PawelP,001,2019_May_21_1200,with_training,3.0.7,60.006144630591784,
31,"[-0.3, 0]",0,5,5,6,,,,,,,,,,,,,V_I_PawelP,001,2019_May_21_1200,with_training,3.0.7,60.006144630591784,
14,"[0.15, -0.3]",0,6,6,5,,,,,,,,,,,,,V_I_PawelP,001,2019_May_21_1200,with_training,3.0.7,60.006144630591784,
11,"[-0.3, 0]",0,7,7,0,,,,,,,,,,,,,V_I_PawelP,001,2019_May_21_1200,with_training,3.0.7,60.006144630591784,
32,"[0.3, 0]",0,8,8,7,,,,,,,,,,,,,V_I_PawelP,001,2019_May_21_1200,with_training,3.0.7,60.006144630591784,
13,"[-0.15, -0.3]",0,9,9,3,,,,,,,,,,,,,V_I_PawelP,001,2019_May_21_1200,with_training,3.0.7,60.006144630591784,
32,"[0.15, 0.3]",,,,,0,0,0,28,,,,,ralt,1.3419601999921724,,,V_I_PawelP,001,2019_May_21_1200,with_training,3.0.7,60.006144630591784,
31,"[0.3, 0]",,,,,0,1,1,13,,,,,ralt,1.262013500003377,,,V_I_PawelP,001,2019_May_21_1200,with_training,3.0.7,60.006144630591784,
32,"[0.15, 0.3]",,,,,0,2,2,46,,,,,ralt,1.3872790999885183,,,V_I_PawelP,001,2019_May_21_1200,with_training,3.0.7,60.006144630591784,
32,"[0.15, -0.3]",,,,,0,3,3,29,,,,,ralt,1.2722311999823432,,,V_I_PawelP,001,2019_May_21_1200,with_training,3.0.7,60.006144630591784,
31,"[-0.3, 0]",,,,,0,4,4,12,,,,,ralt,1.3047426999837626,,,V_I_PawelP,001,2019_May_21_1200,with_training,3.0.7,60.006144630591784,
31,"[0.15, -0.3]",,,,,0,5,5,17,,,,,ralt,1.45498760000919,,,V_I_PawelP,001,2019_May_21_1200,with_training,3.0.7,60.006144630591784,
21,"[0.15, 0.3]",,,,,0,6,6,10,,,,,lalt,1.044426200009184,,,V_I_PawelP,001,2019_May_21_1200,with_training,3.0.7,60.006144630591784,
