img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6_2.keys,key_resp_6_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
14,"[0.15, -0.3]",0,0,0,5,,,,,,,,,,,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
12,"[-0.15, 0.3]",0,1,1,2,,,,,,,,,,,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
12,"[0.3, 0]",0,2,2,1,,,,,,,,,,,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
33,"[-0.15, 0.3]",0,3,3,8,,,,,,,,,,,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
31,"[-0.3, 0]",0,4,4,6,,,,,,,,,,,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
13,"[0.15, 0.3]",0,5,5,4,,,,,,,,,,,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
34,"[-0.15, -0.3]",0,6,6,9,,,,,,,,,,,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
11,"[-0.3, 0]",0,7,7,0,,,,,,,,,,,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
32,"[0.3, 0]",0,8,8,7,,,,,,,,,,,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
13,"[-0.15, -0.3]",0,9,9,3,,,,,,,,,,,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
32,"[-0.15, -0.3]",,,,,0,0,0,45,,,,,ralt,0.9069484000065131,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
21,"[-0.3, 0]",,,,,0,1,1,6,,,,,ralt,0.8550313000014285,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
12,"[-0.15, 0.3]",,,,,0,2,2,20,,,,,lalt,1.094995099992957,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
22,"[0.3, 0]",,,,,0,3,3,31,,,,,lalt,1.0286367000080645,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
31,"[-0.15, -0.3]",,,,,0,4,4,39,,,,,ralt,0.9400638000079198,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
22,"[-0.3, 0]",,,,,0,5,5,30,,,,,lalt,0.81487630000629,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
32,"[-0.3, 0]",,,,,0,6,6,42,,,,,ralt,0.9939033999980893,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
12,"[0.15, -0.3]",,,,,0,7,7,23,,,,,ralt,0.9144296000013128,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
21,"[-0.15, 0.3]",,,,,0,8,8,8,,,,,ralt,0.9050203999941004,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
32,"[-0.15, -0.3]",,,,,0,9,9,27,,,,,lalt,1.0145042999938596,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
32,"[0.3, 0]",,,,,0,10,10,25,,,,,ralt,0.9732978999963962,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
32,"[-0.15, 0.3]",,,,,0,11,11,44,,,,,lalt,1.0108306000038283,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
11,"[-0.15, -0.3]",,,,,0,12,12,3,,,,,ralt,0.8867408000078285,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
22,"[-0.15, -0.3]",,,,,0,13,13,33,,,,,lalt,1.0952923000004375,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
11,"[0.15, -0.3]",,,,,0,14,14,5,,,,,lalt,0.9856018999998923,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
32,"[-0.3, 0]",,,,,0,15,15,24,,,,,ralt,0.8107443000044441,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
31,"[0.15, 0.3]",,,,,0,16,16,16,,,,,ralt,0.9175462999992305,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
32,"[0.15, -0.3]",,,,,0,17,17,47,,,,,ralt,0.8666904999990948,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
12,"[-0.3, 0]",,,,,0,18,18,18,,,,,lalt,0.7910711000004085,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
31,"[-0.3, 0]",,,,,0,19,19,12,,,,,ralt,0.8033226999978069,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
12,"[0.15, 0.3]",,,,,0,20,20,22,,,,,lalt,0.8244124999910127,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
21,"[0.15, 0.3]",,,,,0,21,21,10,,,,,lalt,0.8585479000030318,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
11,"[0.3, 0]",,,,,0,22,22,1,,,,,lalt,0.7950176000013016,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
21,"[0.3, 0]",,,,,0,23,23,7,,,,,ralt,0.946389700009604,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
21,"[-0.15, -0.3]",,,,,0,24,24,9,,,,,lalt,0.9106011999974726,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
32,"[0.15, 0.3]",,,,,0,25,25,46,,,,,ralt,1.2888103000004776,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
11,"[0.15, 0.3]",,,,,0,26,26,4,,,,,lalt,0.8535089999932097,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
31,"[-0.3, 0]",,,,,0,27,27,36,,,,,ralt,0.9673144999978831,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
32,"[0.15, -0.3]",,,,,0,28,28,29,,,,,ralt,0.8221594999922672,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
12,"[-0.15, -0.3]",,,,,0,29,29,21,,,,,lalt,1.0222499999945285,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
12,"[0.3, 0]",,,,,0,30,30,19,,,,,lalt,1.206848000001628,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
31,"[0.15, 0.3]",,,,,0,31,31,40,,,,,ralt,0.9357673000049544,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
22,"[-0.15, 0.3]",,,,,0,32,32,32,,,,,lalt,0.9953444999991916,,,V_I_WojciechZola,001,2019_May_23_1411,with_training,3.0.7,60.080519913906315,
