img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6_2.keys,key_resp_6_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
34,"[-0.15, -0.3]",0,0,0,9,,,,,,,,,,,,,V_I_Pasquale,001,2019_May_21_1409,with_training,3.0.7,60.07153318792912,
13,"[-0.15, -0.3]",0,1,1,3,,,,,,,,,,,,,V_I_Pasquale,001,2019_May_21_1409,with_training,3.0.7,60.07153318792912,
31,"[-0.3, 0]",0,2,2,6,,,,,,,,,,,,,V_I_Pasquale,001,2019_May_21_1409,with_training,3.0.7,60.07153318792912,
12,"[0.3, 0]",0,3,3,1,,,,,,,,,,,,,V_I_Pasquale,001,2019_May_21_1409,with_training,3.0.7,60.07153318792912,
32,"[0.3, 0]",0,4,4,7,,,,,,,,,,,,,V_I_Pasquale,001,2019_May_21_1409,with_training,3.0.7,60.07153318792912,
14,"[0.15, -0.3]",0,5,5,5,,,,,,,,,,,,,V_I_Pasquale,001,2019_May_21_1409,with_training,3.0.7,60.07153318792912,
12,"[-0.15, 0.3]",0,6,6,2,,,,,,,,,,,,,V_I_Pasquale,001,2019_May_21_1409,with_training,3.0.7,60.07153318792912,
33,"[-0.15, 0.3]",0,7,7,8,,,,,,,,,,,,,V_I_Pasquale,001,2019_May_21_1409,with_training,3.0.7,60.07153318792912,
11,"[-0.3, 0]",0,8,8,0,,,,,,,,,,,,,V_I_Pasquale,001,2019_May_21_1409,with_training,3.0.7,60.07153318792912,
13,"[0.15, 0.3]",0,9,9,4,,,,,,,,,,,,,V_I_Pasquale,001,2019_May_21_1409,with_training,3.0.7,60.07153318792912,
32,"[0.15, -0.3]",,,,,0,0,0,47,,,,,None,,,,V_I_Pasquale,001,2019_May_21_1409,with_training,3.0.7,60.07153318792912,
11,"[0.15, 0.3]",,,,,0,1,1,4,,,,,lalt,1.4346567000029609,,,V_I_Pasquale,001,2019_May_21_1409,with_training,3.0.7,60.07153318792912,
31,"[-0.15, 0.3]",,,,,0,2,2,14,,,,,ralt,1.4217334000277333,,,V_I_Pasquale,001,2019_May_21_1409,with_training,3.0.7,60.07153318792912,
