img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6_2.keys,key_resp_6_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
33,"[-0.15, 0.3]",0,0,0,8,,,,,,,,,,,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
12,"[0.3, 0]",0,1,1,1,,,,,,,,,,,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
13,"[0.15, 0.3]",0,2,2,4,,,,,,,,,,,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
31,"[-0.3, 0]",0,3,3,6,,,,,,,,,,,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
32,"[0.3, 0]",0,4,4,7,,,,,,,,,,,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
14,"[0.15, -0.3]",0,5,5,5,,,,,,,,,,,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
11,"[-0.3, 0]",0,6,6,0,,,,,,,,,,,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
12,"[-0.15, 0.3]",0,7,7,2,,,,,,,,,,,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
13,"[-0.15, -0.3]",0,8,8,3,,,,,,,,,,,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
34,"[-0.15, -0.3]",0,9,9,9,,,,,,,,,,,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
21,"[0.15, 0.3]",,,,,0,0,0,10,,,,,lalt,1.1582164000719786,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
31,"[0.15, 0.3]",,,,,0,1,1,16,,,,,ralt,1.0395106999203563,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
11,"[0.3, 0]",,,,,0,2,2,1,,,,,lalt,1.3028253000229597,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
12,"[0.3, 0]",,,,,0,3,3,19,,,,,lalt,1.3888700003735721,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
11,"[-0.15, 0.3]",,,,,0,4,4,2,,,,,None,,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
31,"[-0.15, -0.3]",,,,,0,5,5,15,,,,,ralt,0.7052214001305401,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
31,"[0.3, 0]",,,,,0,6,6,37,,,,,ralt,0.7527604000642896,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
32,"[0.3, 0]",,,,,0,7,7,25,,,,,ralt,0.8267353000119328,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
31,"[0.15, -0.3]",,,,,0,8,8,41,,,,,ralt,1.0230201003141701,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
31,"[-0.3, 0]",,,,,0,9,9,12,,,,,ralt,1.1251167003065348,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
22,"[0.3, 0]",,,,,0,10,10,31,,,,,lalt,1.089975199662149,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
21,"[-0.3, 0]",,,,,0,11,11,6,,,,,ralt,0.97564070019871,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
12,"[-0.15, -0.3]",,,,,0,12,12,21,,,,,lalt,1.0102821001783013,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
11,"[0.15, 0.3]",,,,,0,13,13,4,,,,,lalt,1.1417271997779608,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
11,"[-0.3, 0]",,,,,0,14,14,0,,,,,lalt,1.1410593995824456,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
32,"[-0.15, -0.3]",,,,,0,15,15,45,,,,,ralt,1.1438384000211954,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
12,"[-0.15, 0.3]",,,,,0,16,16,20,,,,,lalt,1.3720694999210536,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
22,"[-0.15, 0.3]",,,,,0,17,17,32,,,,,lalt,0.9893068997189403,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
12,"[0.15, -0.3]",,,,,0,18,18,23,,,,,ralt,1.0729522001929581,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
32,"[-0.15, 0.3]",,,,,0,19,19,26,,,,,ralt,1.3298570001497865,,,kamyk,001,2019_May_20_2230,with_training,3.0.7,59.72787965514087,
