img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6_2.keys,key_resp_6_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
14,"[0.15, -0.3]",0,0,0,5,,,,,,,,,,,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
12,"[-0.15, 0.3]",0,1,1,2,,,,,,,,,,,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
32,"[0.3, 0]",0,2,2,7,,,,,,,,,,,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
12,"[0.3, 0]",0,3,3,1,,,,,,,,,,,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
11,"[-0.3, 0]",0,4,4,0,,,,,,,,,,,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
13,"[-0.15, -0.3]",0,5,5,3,,,,,,,,,,,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
13,"[0.15, 0.3]",0,6,6,4,,,,,,,,,,,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
34,"[-0.15, -0.3]",0,7,7,9,,,,,,,,,,,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
31,"[-0.3, 0]",0,8,8,6,,,,,,,,,,,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
33,"[-0.15, 0.3]",0,9,9,8,,,,,,,,,,,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
11,"[-0.15, -0.3]",,,,,0,0,0,3,,,,,ralt,1.3762422999998307,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
22,"[0.15, 0.3]",,,,,0,1,1,34,,,,,lalt,1.459753300000557,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
32,"[-0.15, -0.3]",,,,,0,2,2,27,,,,,ralt,1.6444339999998192,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
22,"[0.3, 0]",,,,,0,3,3,31,,,,,lalt,1.1165293000003658,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
12,"[0.15, 0.3]",,,,,0,4,4,22,,,,,lalt,1.21601229999942,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
21,"[0.3, 0]",,,,,0,5,5,7,,,,,lalt,1.2304927000004682,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
32,"[-0.15, 0.3]",,,,,0,6,6,44,,,,,None,,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
31,"[-0.15, -0.3]",,,,,0,7,7,39,,,,,ralt,1.6803707999997641,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
21,"[0.15, -0.3]",,,,,0,8,8,11,,,,,lalt,1.283100800000284,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
12,"[0.15, -0.3]",,,,,0,9,9,23,,,,,lalt,1.3933588999998392,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
31,"[-0.15, -0.3]",,,,,0,10,10,15,,,,,None,,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
11,"[-0.3, 0]",,,,,0,11,11,0,,,,,lalt,1.3412379000001238,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
31,"[-0.3, 0]",,,,,0,12,12,12,,,,,None,,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
11,"[0.3, 0]",,,,,0,13,13,1,,,,,lalt,1.3071506000005684,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
22,"[0.15, -0.3]",,,,,0,14,14,35,,,,,lalt,1.4708384000005026,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
21,"[-0.15, 0.3]",,,,,0,15,15,8,,,,,lalt,1.2050618000002942,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
32,"[0.15, 0.3]",,,,,0,16,16,28,,,,,ralt,1.5135118999996848,,,V-I-JUKA4334,001,2019_May_22_1301,with_training,3.0.7,31.986734461480392,
