img,pos,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_6_2.keys,key_resp_6_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
11,"[-0.3, 0]",0,0,0,0,,,,,,,,,,,,,V_I_KorneliaP,001,2019_May_22_1902,with_training,3.0.7,59.80045783238988,
32,"[0.3, 0]",0,1,1,7,,,,,,,,,,,,,V_I_KorneliaP,001,2019_May_22_1902,with_training,3.0.7,59.80045783238988,
13,"[-0.15, -0.3]",0,2,2,3,,,,,,,,,,,,,V_I_KorneliaP,001,2019_May_22_1902,with_training,3.0.7,59.80045783238988,
34,"[-0.15, -0.3]",0,3,3,9,,,,,,,,,,,,,V_I_KorneliaP,001,2019_May_22_1902,with_training,3.0.7,59.80045783238988,
14,"[0.15, -0.3]",0,4,4,5,,,,,,,,,,,,,V_I_KorneliaP,001,2019_May_22_1902,with_training,3.0.7,59.80045783238988,
12,"[-0.15, 0.3]",0,5,5,2,,,,,,,,,,,,,V_I_KorneliaP,001,2019_May_22_1902,with_training,3.0.7,59.80045783238988,
33,"[-0.15, 0.3]",0,6,6,8,,,,,,,,,,,,,V_I_KorneliaP,001,2019_May_22_1902,with_training,3.0.7,59.80045783238988,
13,"[0.15, 0.3]",0,7,7,4,,,,,,,,,,,,,V_I_KorneliaP,001,2019_May_22_1902,with_training,3.0.7,59.80045783238988,
31,"[-0.3, 0]",0,8,8,6,,,,,,,,,,,,,V_I_KorneliaP,001,2019_May_22_1902,with_training,3.0.7,59.80045783238988,
12,"[0.3, 0]",0,9,9,1,,,,,,,,,,,,,V_I_KorneliaP,001,2019_May_22_1902,with_training,3.0.7,59.80045783238988,
11,"[0.3, 0]",,,,,0,0,0,1,,,,,lalt,1.7735623999997188,,,V_I_KorneliaP,001,2019_May_22_1902,with_training,3.0.7,59.80045783238988,
